;totalprod;ace;imid;cloth;thiam;;;;
Alabama;;;894;0;0;;;;
Arkansas;;;;;;;;;
Arizona;;;4965;0;0;;;;
California;;;;;;;;;
Colorado;;;;;;;;;
Florida;4876,117141;45139;;;;;;;
Georgia;1698,249542;63,5;3301,6;937,5;7233,8;;;;
Hawaii;;;9756,5;48908,5;22715;;;;
Iowa;805,5799109;7;;;;;;;
Idaho;1495,94738;115,6;4535,9;459,5;1706,2;;;;
Illinois;217,7243003;0;6481;24781,5;14983,6;;;;
Indiana;196,8590548;35,3;9206,2;19831,9;11522,2;;;;
Kansas;152,4070102;0;9692,6;51622,8;16506;;;;
Kentucky;104,3262272;45012;12434,9;34275,8;18072,8;;;;
Louisiana;1950,446856;282,6;4137;11492,4;7236,8;;;;
Maine;185,0656552;0.0;9564,6;17591,6;18956;;;;
Michigan;2422,18284;1408,7;8568,4;18832;14277,6;;;;
Minnesota;3318,48121;557,1;4763,9;8211,9;3063;;;;
Missouri;224,9817769;0;4313;8449,8;7194,5;;;;
Mississippi;732,5515519;807,8;6284,4;0;44955;;;;
Montana;5553,330433;0;8487;2434,3;1680,6;;;;
North Carolina;201,3949777;728,4;3654,8;0;680,9;;;;
North Dakota;17159,39641;0;3263,5;0;1950,7;;;;
Nebraska;1001,531781;0;3660,9;0;0;;;;
New Jersey;146,9639027;696;9522,6;0;0;;;;
New York;1654,704682;4208,4;4283,2;0;0;;;;
Ohio;537,5068663;161,9;144,8;0;0;;;;
Oregon;1174,804037;304,9;515,4;0;0;;;;
Pennsylvania;430,9126776;2319;322;0;0;;;;
South Carolina;326,5864504;34,4;;;;;;;
South Dakota;9017,414769;0;;;;;;;
Tennessee;149,6854564;474,9;;;;;;;
Texas;4222,94424;2400,9;;;;;;;
Utah;449,9635539;0;332,1;258,3;257,3;;;;
Virginia;86,18253552;1306,8;39,6;179,4;35,7;;;;
Vermont;141,5207952;51,5;310,7;59,8;44;;;;
Washington;1333,561339;6453,8;104,9;409,4;131,4;;;;
Wisconsin;1518,626994;580;174,9;324,1;92,2;;;;
West Virginia;72,57476675;265,3;682,1;578,5;547,4;;;;
Wyoming;1233,771035;0;251,2;0;0;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
